id,name,description,image,pool_id,draft_class_id,created_at,updated_at
1460,Magnemite,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,10,298,2020-08-13 02:34:53.589034,2020-08-13 02:48:30.928765
2331,Lifted,"When an overconfident teen alien gets behind the controls of a spaceship, he must attempt to abduct a slumbering farmer under the watchful eye of a critical instructor",https://image.tmdb.org/t/p/w300/iwI3R8ZR3MQ5dnTx9tHSiS81i4W.jpg,13,300,2020-08-13 02:41:58.320475,2020-08-13 02:54:22.549243
2307,Mater and the Ghostlight,"Mater, the rusty but trusty tow truck from Cars, spends a day in Radiator Springs playing scary pranks on his fellow townsfolk",https://image.tmdb.org/t/p/w300/dpuZqNh5JKoygvJ6vki2KIEU0lq.jpg,13,300,2020-08-13 02:41:58.143807,2020-08-13 02:54:22.550939
2291,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz",https://image.tmdb.org/t/p/w300/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,13,300,2020-08-13 02:41:57.986471,2020-08-13 02:54:22.551754
2298,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years",https://image.tmdb.org/t/p/w300/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,13,300,2020-08-13 02:41:58.005605,2020-08-13 02:54:22.552564
2320,Tin Toy,"Babies are hardly monster-like, unless you're a toy",https://image.tmdb.org/t/p/w300/bNoX2MCpquxk60skGCLignnRqpy.jpg,13,300,2020-08-13 02:41:58.177806,2020-08-13 02:54:22.553361
2330,Boundin',On a high mountain plain lives a lamb with wool of such remarkable sheen that he breaks into high-steppin' dance,https://image.tmdb.org/t/p/w300/bQBFIwb77jrsXiH7TQVFu7onwN7.jpg,13,300,2020-08-13 02:41:58.318759,2020-08-13 02:54:22.554237
1462,Farfetchd,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,10,,2020-08-13 02:34:54.919299,2020-08-13 02:34:54.919299
1463,Doduo,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,10,,2020-08-13 02:34:55.735128,2020-08-13 02:34:55.735128
1465,Seel,The protruding horn on its head is very hard. It is used for bashing through thick ice.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,10,,2020-08-13 02:34:56.883047,2020-08-13 02:34:56.883047
1466,Dewgong,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,10,,2020-08-13 02:34:57.580509,2020-08-13 02:34:57.580509
1468,Muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,10,,2020-08-13 02:34:59.218067,2020-08-13 02:34:59.218067
1469,Shellder,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,10,,2020-08-13 02:35:00.037714,2020-08-13 02:35:00.037714
1470,Cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,10,,2020-08-13 02:35:00.652063,2020-08-13 02:35:00.652063
1473,Gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,10,,2020-08-13 02:35:02.375705,2020-08-13 02:35:02.375705
1474,Onix,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,10,,2020-08-13 02:35:03.045862,2020-08-13 02:35:03.045862
1475,Drowzee,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,10,,2020-08-13 02:35:03.65357,2020-08-13 02:35:03.65357
1476,Hypno,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,10,,2020-08-13 02:35:04.349884,2020-08-13 02:35:04.349884
1477,Krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,10,,2020-08-13 02:35:04.952408,2020-08-13 02:35:04.952408
1478,Kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,10,,2020-08-13 02:35:05.566643,2020-08-13 02:35:05.566643
1479,Voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,10,,2020-08-13 02:35:06.230685,2020-08-13 02:35:06.230685
1480,Electrode,It stores electric energy under very high pressure. It often explodes with little or no provocation.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,10,,2020-08-13 02:35:06.900839,2020-08-13 02:35:06.900839
1481,Exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,10,,2020-08-13 02:35:07.820548,2020-08-13 02:35:07.820548
1483,Cubone,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,10,,2020-08-13 02:35:09.152172,2020-08-13 02:35:09.152172
1484,Marowak,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,10,,2020-08-13 02:35:09.765896,2020-08-13 02:35:09.765896
1485,Hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,10,,2020-08-13 02:35:10.58399,2020-08-13 02:35:10.58399
1486,Hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,10,,2020-08-13 02:35:11.220109,2020-08-13 02:35:11.220109
1487,Lickitung,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,10,,2020-08-13 02:35:11.916292,2020-08-13 02:35:11.916292
1488,Koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,10,,2020-08-13 02:35:12.613311,2020-08-13 02:35:12.613311
1489,Weezing,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,10,,2020-08-13 02:35:14.168791,2020-08-13 02:35:14.168791
1490,Rhyhorn,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,10,,2020-08-13 02:35:14.783131,2020-08-13 02:35:14.783131
1491,Rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,10,,2020-08-13 02:35:15.49982,2020-08-13 02:35:15.49982
1492,Chansey,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,10,298,2020-08-13 02:35:16.319777,2020-08-13 02:48:30.916732
2572,Jacqueline,Human female from Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/170.jpeg,15,301,2020-08-13 02:42:00.997391,2020-08-13 03:33:29.054911
2431,Baby Legs,Human male from unknown,https://rickandmortyapi.com/api/character/avatar/29.jpeg,15,301,2020-08-13 02:41:59.162302,2020-08-13 03:33:29.069036
2641,Mr. Goldenfold,Cronenberg male from Earth (C-137),https://rickandmortyapi.com/api/character/avatar/239.jpeg,15,301,2020-08-13 02:42:01.753086,2020-08-13 03:33:29.071721
2592,Keara,Alien female from Krootabulon,https://rickandmortyapi.com/api/character/avatar/190.jpeg,15,301,2020-08-13 02:42:01.252724,2020-08-13 03:33:29.072622
2644,Mr. Meeseeks,Humanoid male from Mr. Meeseeks Box,https://rickandmortyapi.com/api/character/avatar/242.jpeg,15,301,2020-08-13 02:42:01.984729,2020-08-13 03:33:29.073515
1493,Tangela,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,10,,2020-08-13 02:35:17.621349,2020-08-13 02:35:17.621349
1494,Kangaskhan,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,10,,2020-08-13 02:35:18.330552,2020-08-13 02:35:18.330552
1495,Horsea,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,10,,2020-08-13 02:35:18.926094,2020-08-13 02:35:18.926094
1496,Seadra,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,10,,2020-08-13 02:35:19.508452,2020-08-13 02:35:19.508452
1498,Seaking,"In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,10,,2020-08-13 02:35:20.730964,2020-08-13 02:35:20.730964
1499,Staryu,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,10,,2020-08-13 02:35:21.426389,2020-08-13 02:35:21.426389
1502,Scyther,"With ninja-like agility and speed, it can create the illusion that there is more than one.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,10,,2020-08-13 02:35:23.356795,2020-08-13 02:35:23.356795
1503,Jynx,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,10,,2020-08-13 02:35:23.928486,2020-08-13 02:35:23.928486
1504,Electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,10,,2020-08-13 02:35:24.630289,2020-08-13 02:35:24.630289
1505,Magmar,Its body always burns with an orange glow that enables it to hide perfectly among flames.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,10,,2020-08-13 02:35:25.230005,2020-08-13 02:35:25.230005
1506,Pinsir,"When the tempera­ ture drops at night, it sleeps on treetops or among roots where it is well hidden.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,10,,2020-08-13 02:35:25.843545,2020-08-13 02:35:25.843545
1507,Tauros,"When it targets an enemy, it charges furiously while whipping its body with its long tails.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,10,,2020-08-13 02:35:26.560161,2020-08-13 02:35:26.560161
1508,Magikarp,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,10,,2020-08-13 02:35:27.125012,2020-08-13 02:35:27.125012
1509,Gyarados,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,10,,2020-08-13 02:35:27.891377,2020-08-13 02:35:27.891377
1511,Ditto,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,10,,2020-08-13 02:35:29.83619,2020-08-13 02:35:29.83619
1512,Eevee,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,10,,2020-08-13 02:35:30.465883,2020-08-13 02:35:30.465883
1513,Vaporeon,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,10,,2020-08-13 02:35:31.065792,2020-08-13 02:35:31.065792
1514,Jolteon,"It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,10,,2020-08-13 02:35:31.679569,2020-08-13 02:35:31.679569
1515,Flareon,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,10,,2020-08-13 02:35:32.90851,2020-08-13 02:35:32.90851
1516,Porygon,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,10,,2020-08-13 02:35:33.735279,2020-08-13 02:35:33.735279
1517,Omanyte,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,10,,2020-08-13 02:35:34.549454,2020-08-13 02:35:34.549454
1518,Omastar,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,10,,2020-08-13 02:35:36.043348,2020-08-13 02:35:36.043348
1519,Kabuto,"On rare occasions, some have been found as fossils which they became while hiding on the ocean floor.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,10,,2020-08-13 02:35:36.59723,2020-08-13 02:35:36.59723
1520,Kabutops,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,10,,2020-08-13 02:35:38.028053,2020-08-13 02:35:38.028053
1521,Aerodactyl,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,10,,2020-08-13 02:35:38.565821,2020-08-13 02:35:38.565821
1522,Snorlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,10,,2020-08-13 02:35:39.23043,2020-08-13 02:35:39.23043
1524,Zapdos,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,10,,2020-08-13 02:35:41.304719,2020-08-13 02:35:41.304719
1497,Goldeen,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,10,298,2020-08-13 02:35:20.224664,2020-08-13 02:48:30.915753
1500,Starmie,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,10,298,2020-08-13 02:35:22.154184,2020-08-13 02:48:30.919556
1525,Moltres,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,10,,2020-08-13 02:35:42.123728,2020-08-13 02:35:42.123728
1526,Dratini,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,10,,2020-08-13 02:35:42.741236,2020-08-13 02:35:42.741236
